title;date;url
"Grammarly for Chrome";"March 7, 2019";"https://chrome.google.com/webstore/detail/grammarly-for-chrome/kbfnbcaeplbcioakkpcpgfkobkghlhen"
"LastPass: Free Password Manager";"March 2, 2019";"https://chrome.google.com/webstore/detail/lastpass-free-password-ma/hdokiejnpimakedhajhdlcegeplioahd"
"Momentum";"March 8, 2019";"https://chrome.google.com/webstore/detail/momentum/laookkfknpbbblfpciffpaejjkokdgca"
"Google Translate";"October 18, 2017";"https://chrome.google.com/webstore/detail/google-translate/aapbdbdomjkkjkaonfhkkikfgjllcleb"
"Office Online";"December 4, 2018";"https://chrome.google.com/webstore/detail/office-online/ndjpnladcallmjemlbaebfadecfhkepb"
"Google Keep Chrome Extension";"March 8, 2019";"https://chrome.google.com/webstore/detail/google-keep-chrome-extens/lpcaedmchfhocbbapmcbpinfpgnhiddi"
"Screencastify - Screen Video Recorder";"March 8, 2019";"https://chrome.google.com/webstore/detail/screencastify-screen-vide/mmeijimgabbpbgpdklnllpncmdofkcpn"
"Flash Video Downloader";"September 30, 2018";"https://chrome.google.com/webstore/detail/flash-video-downloader/aiimdkdngfcipjohbjenkahhlhccpdbc"
"G Suite Training";"May 3, 2018";"https://chrome.google.com/webstore/detail/g-suite-training/idkloemkmldbemijiamdiolojbffnjlh"
"ZenMate VPN - Best Cyber Security & Unblock";"March 1, 2019";"https://chrome.google.com/webstore/detail/zenmate-vpn-best-cyber-se/fdcgdnkidjaadafnichfpabhfomcebme"
"uBlock Origin";"March 8, 2019";"https://chrome.google.com/webstore/detail/ublock-origin/cjpalhdlnbpafiamejdnhcphjbkeiagm"
"Kami Extension - PDF and Document Annotation";"February 24, 2019";"https://chrome.google.com/webstore/detail/kami-extension-pdf-and-do/ecnphlgnajanjnkcmbpancdjoidceilk"
"Tampermonkey";"March 8, 2019";"https://chrome.google.com/webstore/detail/tampermonkey/dhdgffkkebhmkfjojejmpbldmpobfkfo"
"Readlang Web Reader";"May 17, 2017";"https://chrome.google.com/webstore/detail/readlang-web-reader/odpdkefpnfejbfnmdilmfhephfffmfoh"
"Google Cast for Education";"January 18, 2019";"https://chrome.google.com/webstore/detail/google-cast-for-education/bnmgbcehmiinmmlmepibeeflglhbhlea"
"Share to Classroom";"September 19, 2017";"https://chrome.google.com/webstore/detail/share-to-classroom/adokjfanaflbkibffcbhihgihpgijcei"
"The QR Code Extension";"March 16, 2016";"https://chrome.google.com/webstore/detail/the-qr-code-extension/oijdcdmnjjgnnhgljmhkjlablaejfeeb"
"OneTab";"February 19, 2017";"https://chrome.google.com/webstore/detail/onetab/chphlpgkkbolifaimnlloiipkdnihall"
"AdGuard AdBlocker";"March 7, 2019";"https://chrome.google.com/webstore/detail/adguard-adblocker/bgnkhhnnamicmpeenaelnjfhikgbkllg"
"Save to Google Drive";"June 16, 2014";"https://chrome.google.com/webstore/detail/save-to-google-drive/gmbmikajjgmnabiglmofipeabaddhgne"
"Evernote Web Clipper";"January 28, 2019";"https://chrome.google.com/webstore/detail/evernote-web-clipper/pioclpoplcdbaefihamjohnefbikjilc"
"Adblock Plus - free ad blocker";"January 23, 2019";"https://chrome.google.com/webstore/detail/adblock-plus-free-ad-bloc/cfhdojbkjhnklbpkdaibdccddilifddb"
"New Tab: Winter Animation";"December 6, 2018";"https://chrome.google.com/webstore/detail/new-tab-winter-animation/leenkjhmbcgekojlkimcbodmniopgfnp"
"Adblock for Youtube™";"March 7, 2019";"https://chrome.google.com/webstore/detail/adblock-for-youtube/cmedhionkhpnakcndndgjdbohmhepckk"
"Microsoft Teams Screen sharing";"December 13, 2018";"https://chrome.google.com/webstore/detail/microsoft-teams-screen-sh/dhheiegalgcabbcobinipgmhepkkeidk"
"Google Input Tools";"March 8, 2019";"https://chrome.google.com/webstore/detail/google-input-tools/mclkkofklkfljcocdinagocijmpgbhab"
"Apps Launcher";"October 19, 2017";"https://chrome.google.com/webstore/detail/apps-launcher/ijmgkhchjindcjamnckoiahagecjnkdc"
"SpeakIt!";"March 1, 2019";"https://chrome.google.com/webstore/detail/speakit/pgeolalilifpodheeocdmbhehgnkkbak"
"Cite This For Me: Web Citer";"December 9, 2016";"https://chrome.google.com/webstore/detail/cite-this-for-me-web-cite/nnnmhgkokpalnmbeighfomegjfkklkle"
"AdBlock";"February 23, 2019";"https://chrome.google.com/webstore/detail/adblock/gighmmpiobklfepjocnamgkkbiglidom"
"MEGA";"March 8, 2019";"https://chrome.google.com/webstore/detail/mega/bigefpfhnfcobdlfbedofhhaibnlghod"
"Pop up blocker for Chrome™ - Poper Blocker";"February 27, 2019";"https://chrome.google.com/webstore/detail/pop-up-blocker-for-chrome/bkkbcggnhapdmkeljlodobbkopceiche"
"IE Tab";"February 18, 2019";"https://chrome.google.com/webstore/detail/ie-tab/hehijbfgiekmjfkfjpbkbammjbdenadd"
"EasyBib Toolbar";"February 4, 2016";"https://chrome.google.com/webstore/detail/easybib-toolbar/hmffdimoneaieldiddcmajhbjijmnggi"
"Clever";"March 8, 2019";"https://chrome.google.com/webstore/detail/clever/nopfnnpnopgmcnkjchnlpomggcdjfepo"
"Save to Pocket";"March 8, 2019";"https://chrome.google.com/webstore/detail/save-to-pocket/niloccemoadcdkdjlinkgdfekeahmflj"
"NetSupport School Student";"February 20, 2019";"https://chrome.google.com/webstore/detail/netsupport-school-student/gcjpefhffmcgplgklffgbebganmhffje"
"QR Code (Generator and Reader)";"January 6, 2019";"https://chrome.google.com/webstore/detail/qr-code-generator-and-rea/hkojjajclkgeijhcmfjcjkddfjpaimek"
"Abre Focus Extension";"February 16, 2019";"https://chrome.google.com/webstore/detail/abre-focus-extension/gcofahbeehbeomgejekjimjjoodmebal"
"Avira Browser Safety";"January 7, 2019";"https://chrome.google.com/webstore/detail/avira-browser-safety/flliilndjeohchalpbbcdekjklbdgfkk"
"Pinterest Save Button";"March 4, 2019";"https://chrome.google.com/webstore/detail/pinterest-save-button/gpdjojdkbbmdfjfahjcgigfpmkopogic"
"Alice Keeler QuickShare Screenshot";"January 25, 2017";"https://chrome.google.com/webstore/detail/alice-keeler-quickshare-s/kbbakflmccgdckcccapdedjpcemkpoeo"
"Adobe Acrobat";"March 6, 2019";"https://chrome.google.com/webstore/detail/adobe-acrobat/efaidnbmnnnibpcajpcglclefindmkaj"
"Loom - Video Recorder: Screen, Webcam and Mic";"March 1, 2019";"https://chrome.google.com/webstore/detail/loom-video-recorder-scree/liecbddmkiiihnedobmlmillhodjkdmb"
"EquatIO - Math made digital";"March 8, 2019";"https://chrome.google.com/webstore/detail/equatio-math-made-digital/hjngolefdpdnooamgdldlkjgmdcmcjnc"
"Dualless";"August 24, 2013";"https://chrome.google.com/webstore/detail/dualless/bgdpkilkheacbboffppjgceiplijhfpd"
"Bloomberg";"July 11, 2017";"https://chrome.google.com/webstore/detail/bloomberg/llgiblikeclfoebojkplbcmnicgcabhg"
"Hola Free VPN Proxy Unblocker";"March 9, 2019";"https://chrome.google.com/webstore/detail/hola-free-vpn-proxy-unblo/gkojfkhlekighikafcpjkiklfbnlmeio"
"Hotspot Shield VPN Free Proxy – Unblock Sites";"February 14, 2019";"https://chrome.google.com/webstore/detail/hotspot-shield-vpn-free-p/nlbejmccbhkncgokjcmghpfloaajcffj"
"Loady - Video and music saver";"February 19, 2019";"https://chrome.google.com/webstore/detail/loady-video-and-music-sav/afkpfjljjhhonjehpkmgonimjjgaheap"
"Browsec VPN - Free and Unlimited VPN";"February 20, 2019";"https://chrome.google.com/webstore/detail/browsec-vpn-free-and-unli/omghfjlpggmjjaagoclmmobgdodcjboh"
"FromDocToPDF";"February 13, 2019";"https://chrome.google.com/webstore/detail/fromdoctopdf/mallpejgeafdahhflmliiahjdpgbegpk"
"iCloud Bookmarks";"November 8, 2017";"https://chrome.google.com/webstore/detail/icloud-bookmarks/fkepacicchenbjecpbpbclokcabebhah"
"Video Adblocker for Youtube™ Extension";"May 24, 2018";"https://chrome.google.com/webstore/detail/video-adblocker-for-youtu/hflefjhkfeiaignkclmphmokmmbhbhik"
"EasyPDFCombine";"February 13, 2019";"https://chrome.google.com/webstore/detail/easypdfcombine/kpocjpoifmommoiiiamepombpeoaehfh"
"Video Downloader Plus";"March 6, 2019";"https://chrome.google.com/webstore/detail/video-downloader-plus/baejfnndpekpkaaancgpakjaengfpopk"
"Video Downloader professional";"August 1, 2018";"https://chrome.google.com/webstore/detail/video-downloader-professi/elicpjhcidhpjomhibiffojpinpmmpil"
"Super Simple Highlighter";"August 26, 2017";"https://chrome.google.com/webstore/detail/super-simple-highlighter/hhlhjgianpocpoppaiihmlpgcoehlhio"
"TunnelBear VPN";"January 29, 2019";"https://chrome.google.com/webstore/detail/tunnelbear-vpn/omdakjcmkglenbhjadbccaookpfjihpa"
"Goobric for Students";"October 25, 2017";"https://chrome.google.com/webstore/detail/goobric-for-students/mpgknomjjgfnghhmhnhgpmanpkccgkoc"
"MultiTool for Khan Academy";"June 26, 2016";"https://chrome.google.com/webstore/detail/multitool-for-khan-academ/melabjdobbjfobmgaagkmgbnhplncdie"
"Alice Keeler Classroom Split";"September 14, 2015";"https://chrome.google.com/webstore/detail/alice-keeler-classroom-sp/ifkgpacemihiplnocjocpgmoiefcojik"
"Ghostery – Privacy Ad Blocker";"March 8, 2019";"https://chrome.google.com/webstore/detail/ghostery-%E2%80%93-privacy-ad-blo/mlomiejdfkolichcflejclcbmpeaniij"
"Adblocker for Chrome - NoAds";"February 12, 2019";"https://chrome.google.com/webstore/detail/adblocker-for-chrome-noad/alplpnakfeabeiebipdmaenpmbgknjce"
"Office Editing for Docs, Sheets & Slides";"February 28, 2019";"https://chrome.google.com/webstore/detail/office-editing-for-docs-s/gbkeegbaiigmenfmjfclcdgdpimamgkj"
"Pushbullet";"February 27, 2019";"https://chrome.google.com/webstore/detail/pushbullet/chlffgpmiacpedhhbkiomidkjlcfhogd"
"UltraSurf Security, Privacy & Unblock VPN";"October 15, 2018";"https://chrome.google.com/webstore/detail/ultrasurf-security-privac/mjnbclmflcpookeapghfhapeffmpodij"
"Video Downloader PLUS";"January 19, 2019";"https://chrome.google.com/webstore/detail/video-downloader-plus/fhplmmllnpjjlncfjpbbpjadoeijkogc"
